2017-02-02 08:07:46.568 INFO  DefaultFactory Logging to 'C:\Development\NServiceBusTest\NServiceBusTest\Client\bin\Debug\' with level Info
2017-02-02 08:07:46.725 INFO  NServiceBus.LicenseManager Trial for the Particular Service Platform has been active since 23.01.2017.
2017-02-02 08:15:21.013 INFO  DefaultFactory Logging to 'C:\Development\NServiceBusTest\NServiceBusTest\Client\bin\Debug\' with level Info
2017-02-02 08:15:21.196 INFO  NServiceBus.LicenseManager Trial for the Particular Service Platform has been active since 23.01.2017.
2017-02-02 08:15:21.549 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'FP\rwiglenda' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "FP\rwiglenda" /add
2017-02-02 08:15:21.651 INFO  NServiceBus.QueuePermissions Queue [private$\error] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-02-02 08:15:21.681 INFO  NServiceBus.QueuePermissions Queue [private$\Samples.StepByStep.Client.Timeouts] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-02-02 08:15:21.704 INFO  NServiceBus.QueuePermissions Queue [private$\Samples.StepByStep.Client.TimeoutsDispatcher] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-02-02 08:15:21.728 INFO  NServiceBus.QueuePermissions Queue [private$\Samples.StepByStep.Client.Retries] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-02-02 08:15:21.743 INFO  NServiceBus.QueuePermissions Queue [private$\Samples.StepByStep.Client] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
