2017-02-02 08:15:21.015 INFO  DefaultFactory Logging to 'C:\Development\NServiceBusTest\NServiceBusTest\Subscriber\bin\Debug\' with level Info
2017-02-02 08:15:21.200 INFO  NServiceBus.LicenseManager Trial for the Particular Service Platform has been active since 23.01.2017.
2017-02-02 08:15:21.703 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'FP\rwiglenda' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "FP\rwiglenda" /add
2017-02-02 08:15:21.828 INFO  NServiceBus.QueuePermissions Queue [private$\error] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-02-02 08:15:21.847 INFO  NServiceBus.QueuePermissions Queue [private$\Samples.StepByStep.Subscriber.Timeouts] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-02-02 08:15:21.854 INFO  NServiceBus.QueuePermissions Queue [private$\Samples.StepByStep.Subscriber.TimeoutsDispatcher] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-02-02 08:15:21.860 INFO  NServiceBus.QueuePermissions Queue [private$\Samples.StepByStep.Subscriber.Retries] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-02-02 08:15:21.866 INFO  NServiceBus.QueuePermissions Queue [private$\Samples.StepByStep.Subscriber] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-02-02 08:16:03.871 INFO  Subscriber.OrderCreatedHandler Handling: OrderPlaced for Order Id: 711c02e4-9bb3-4534-9d22-addd1aaf20fe
2017-02-02 08:16:05.397 INFO  Subscriber.OrderCreatedHandler Handling: OrderPlaced for Order Id: fdcaf2cb-ef92-48f6-bc35-eee1616fdbaa
